Categoría: Todas las categorías

Semana,Ethereum: (Japón)
2020-10-04,17
2020-10-11,14
2020-10-18,12
2020-10-25,8
2020-11-01,18
2020-11-08,12
2020-11-15,13
2020-11-22,22
2020-11-29,19
2020-12-06,15
2020-12-13,18
2020-12-20,18
2020-12-27,23
2021-01-03,47
2021-01-10,39
2021-01-17,42
2021-01-24,37
2021-01-31,45
2021-02-07,51
2021-02-14,61
2021-02-21,51
2021-02-28,38
2021-03-07,50
2021-03-14,47
2021-03-21,32
2021-03-28,42
2021-04-04,53
2021-04-11,51
2021-04-18,50
2021-04-25,63
2021-05-02,85
2021-05-09,96
2021-05-16,81
2021-05-23,55
2021-05-30,51
2021-06-06,44
2021-06-13,38
2021-06-20,34
2021-06-27,31
2021-07-04,37
2021-07-11,34
2021-07-18,33
2021-07-25,35
2021-08-01,48
2021-08-08,42
2021-08-15,42
2021-08-22,42
2021-08-29,49
2021-09-05,44
2021-09-12,26
2021-09-19,29
2021-09-26,33
2021-10-03,24
2021-10-10,40
2021-10-17,33
2021-10-24,48
2021-10-31,39
2021-11-07,47
2021-11-14,48
2021-11-21,46
2021-11-28,43
2021-12-05,46
2021-12-12,37
2021-12-19,37
2021-12-26,29
2022-01-02,56
2022-01-09,53
2022-01-16,57
2022-01-23,60
2022-01-30,60
2022-02-06,45
2022-02-13,51
2022-02-20,62
2022-02-27,57
2022-03-06,46
2022-03-13,48
2022-03-20,56
2022-03-27,51
2022-04-03,44
2022-04-10,39
2022-04-17,42
2022-04-24,31
2022-05-01,37
2022-05-08,50
2022-05-15,45
2022-05-22,38
2022-05-29,46
2022-06-05,48
2022-06-12,65
2022-06-19,54
2022-06-26,43
2022-07-03,45
2022-07-10,41
2022-07-17,43
2022-07-24,41
2022-07-31,36
2022-08-07,33
2022-08-14,37
2022-08-21,41
2022-08-28,40
2022-09-04,38
2022-09-11,100
2022-09-18,39
2022-09-25,30
2022-10-02,35
2022-10-09,25
2022-10-16,25
2022-10-23,24
2022-10-30,25
2022-11-06,44
2022-11-13,37
2022-11-20,34
2022-11-27,27
2022-12-04,24
2022-12-11,25
2022-12-18,21
2022-12-25,16
2023-01-01,19
2023-01-08,27
2023-01-15,24
2023-01-22,21
2023-01-29,32
2023-02-05,20
2023-02-12,22
2023-02-19,21
2023-02-26,23
2023-03-05,23
2023-03-12,25
2023-03-19,24
2023-03-26,23
2023-04-02,24
2023-04-09,37
2023-04-16,28
2023-04-23,21
2023-04-30,18
2023-05-07,23
2023-05-14,29
2023-05-21,22
2023-05-28,17
2023-06-04,22
2023-06-11,19
2023-06-18,16
2023-06-25,22
2023-07-02,15
2023-07-09,24
2023-07-16,19
2023-07-23,24
2023-07-30,21
2023-08-06,24
2023-08-13,26
2023-08-20,22
2023-08-27,20
2023-09-03,19
2023-09-10,20
2023-09-17,19
2023-09-24,21
2023-10-01,19
2023-10-08,23
2023-10-15,23
2023-10-22,29
2023-10-29,21
2023-11-05,28
2023-11-12,24
2023-11-19,22
2023-11-26,30
2023-12-03,50
2023-12-10,33
2023-12-17,47
2023-12-24,24
2023-12-31,23
2024-01-07,38
2024-01-14,30
2024-01-21,26
2024-01-28,22
2024-02-04,31
2024-02-11,32
2024-02-18,33
2024-02-25,53
2024-03-03,58
2024-03-10,55
2024-03-17,39
2024-03-24,47
2024-03-31,36
2024-04-07,44
2024-04-14,29
2024-04-21,33
2024-04-28,19
2024-05-05,29
2024-05-12,29
2024-05-19,59
2024-05-26,31
2024-06-02,29
2024-06-09,30
2024-06-16,28
2024-06-23,25
2024-06-30,27
2024-07-07,25
2024-07-14,25
2024-07-21,32
2024-07-28,25
2024-08-04,32
2024-08-11,20
2024-08-18,22
2024-08-25,20
2024-09-01,16
2024-09-08,17
2024-09-15,19
2024-09-22,22
2024-09-29,20
2024-10-06,14
2024-10-13,19
2024-10-20,24
2024-10-27,19
2024-11-03,31
2024-11-10,47
2024-11-17,42
2024-11-24,42
2024-12-01,45
2024-12-08,37
2024-12-15,49
2024-12-22,26
2024-12-29,25
2025-01-05,28
2025-01-12,30
2025-01-19,33
2025-01-26,32
2025-02-02,37
2025-02-09,22
2025-02-16,29
2025-02-23,20
2025-03-02,31
2025-03-09,30
2025-03-16,23
2025-03-23,23
2025-03-30,24
2025-04-06,24
2025-04-13,22
2025-04-20,28
2025-04-27,26
2025-05-04,21
2025-05-11,31
2025-05-18,29
2025-05-25,26
2025-06-01,22
2025-06-08,29
2025-06-15,29
2025-06-22,23
2025-06-29,17
2025-07-06,26
2025-07-13,39
2025-07-20,30
2025-07-27,35
2025-08-03,99
2025-08-10,97
2025-08-17,37
2025-08-24,42
2025-08-31,27
2025-09-07,28
2025-09-14,23
2025-09-21,30
2025-09-28,28
2025-10-05,34
