Categoría: Todas las categorías

Semana,Ethereum: (Estados Unidos)
2020-10-04,3
2020-10-11,3
2020-10-18,4
2020-10-25,4
2020-11-01,4
2020-11-08,5
2020-11-15,8
2020-11-22,13
2020-11-29,11
2020-12-06,7
2020-12-13,10
2020-12-20,11
2020-12-27,19
2021-01-03,48
2021-01-10,36
2021-01-17,29
2021-01-24,30
2021-01-31,40
2021-02-07,48
2021-02-14,46
2021-02-21,40
2021-02-28,29
2021-03-07,32
2021-03-14,28
2021-03-21,23
2021-03-28,32
2021-04-04,31
2021-04-11,46
2021-04-18,44
2021-04-25,44
2021-05-02,100
2021-05-09,93
2021-05-16,78
2021-05-23,66
2021-05-30,42
2021-06-06,35
2021-06-13,29
2021-06-20,37
2021-06-27,28
2021-07-04,22
2021-07-11,22
2021-07-18,25
2021-07-25,26
2021-08-01,38
2021-08-08,37
2021-08-15,32
2021-08-22,28
2021-08-29,36
2021-09-05,35
2021-09-12,24
2021-09-19,29
2021-09-26,25
2021-10-03,28
2021-10-10,30
2021-10-17,38
2021-10-24,39
2021-10-31,41
2021-11-07,46
2021-11-14,37
2021-11-21,32
2021-11-28,35
2021-12-05,33
2021-12-12,31
2021-12-19,27
2021-12-26,27
2022-01-02,34
2022-01-09,32
2022-01-16,30
2022-01-23,34
2022-01-30,25
2022-02-06,25
2022-02-13,22
2022-02-20,22
2022-02-27,19
2022-03-06,16
2022-03-13,16
2022-03-20,18
2022-03-27,19
2022-04-03,16
2022-04-10,15
2022-04-17,14
2022-04-24,13
2022-05-01,13
2022-05-08,26
2022-05-15,17
2022-05-22,15
2022-05-29,13
2022-06-05,15
2022-06-12,35
2022-06-19,20
2022-06-26,15
2022-07-03,12
2022-07-10,12
2022-07-17,17
2022-07-24,15
2022-07-31,13
2022-08-07,16
2022-08-14,16
2022-08-21,14
2022-08-28,12
2022-09-04,14
2022-09-11,33
2022-09-18,16
2022-09-25,11
2022-10-02,10
2022-10-09,9
2022-10-16,7
2022-10-23,10
2022-10-30,8
2022-11-06,15
2022-11-13,13
2022-11-20,10
2022-11-27,8
2022-12-04,8
2022-12-11,10
2022-12-18,9
2022-12-25,8
2023-01-01,8
2023-01-08,9
2023-01-15,10
2023-01-22,9
2023-01-29,9
2023-02-05,7
2023-02-12,8
2023-02-19,8
2023-02-26,6
2023-03-05,7
2023-03-12,10
2023-03-19,10
2023-03-26,9
2023-04-02,9
2023-04-09,14
2023-04-16,11
2023-04-23,8
2023-04-30,8
2023-05-07,7
2023-05-14,6
2023-05-21,5
2023-05-28,6
2023-06-04,6
2023-06-11,7
2023-06-18,7
2023-06-25,7
2023-07-02,7
2023-07-09,7
2023-07-16,7
2023-07-23,6
2023-07-30,5
2023-08-06,5
2023-08-13,6
2023-08-20,6
2023-08-27,5
2023-09-03,4
2023-09-10,5
2023-09-17,5
2023-09-24,4
2023-10-01,5
2023-10-08,5
2023-10-15,6
2023-10-22,8
2023-10-29,6
2023-11-05,11
2023-11-12,8
2023-11-19,7
2023-11-26,8
2023-12-03,13
2023-12-10,10
2023-12-17,9
2023-12-24,9
2023-12-31,10
2024-01-07,14
2024-01-14,10
2024-01-21,7
2024-01-28,6
2024-02-04,7
2024-02-11,11
2024-02-18,14
2024-02-25,21
2024-03-03,26
2024-03-10,24
2024-03-17,16
2024-03-24,13
2024-03-31,11
2024-04-07,11
2024-04-14,10
2024-04-21,8
2024-04-28,8
2024-05-05,7
2024-05-12,7
2024-05-19,22
2024-05-26,12
2024-06-02,11
2024-06-09,9
2024-06-16,7
2024-06-23,7
2024-06-30,7
2024-07-07,7
2024-07-14,9
2024-07-21,12
2024-07-28,8
2024-08-04,14
2024-08-11,7
2024-08-18,7
2024-08-25,6
2024-09-01,6
2024-09-08,5
2024-09-15,5
2024-09-22,6
2024-09-29,4
2024-10-06,4
2024-10-13,5
2024-10-20,5
2024-10-27,6
2024-11-03,11
2024-11-10,22
2024-11-17,17
2024-11-24,15
2024-12-01,21
2024-12-08,16
2024-12-15,15
2024-12-22,10
2024-12-29,9
2025-01-05,9
2025-01-12,11
2025-01-19,13
2025-01-26,9
2025-02-02,14
2025-02-09,8
2025-02-16,8
2025-02-23,10
2025-03-02,12
2025-03-09,11
2025-03-16,7
2025-03-23,7
2025-03-30,7
2025-04-06,11
2025-04-13,6
2025-04-20,8
2025-04-27,7
2025-05-04,10
2025-05-11,12
2025-05-18,11
2025-05-25,8
2025-06-01,8
2025-06-08,10
2025-06-15,8
2025-06-22,9
2025-06-29,9
2025-07-06,14
2025-07-13,30
2025-07-20,35
2025-07-27,32
2025-08-03,26
2025-08-10,37
2025-08-17,24
2025-08-24,24
2025-08-31,17
2025-09-07,15
2025-09-14,15
2025-09-21,15
2025-09-28,14
2025-10-05,16
